DATE_TIME;LATITUDE;LONGITUDE;GEOHASH;MAXIMUM_SPEED;MINIMUM_SPEED;AVERAGE_SPEED;NUMBER_OF_VEHICLES;year;month;monthday;weekday
2022-01-04 22:00:00.0000000;289874255020032;411025987862528;sxk9gd;141;4;75;239;2022;1;4;3
2022-01-04 23:00:00.0000000;289874255020032;411025987862528;sxk9gd;182;8;75;226;2022;1;4;3
2022-01-11 10:00:00.0000000;289874255020032;411025987862528;sxk9gd;113;2;57;421;2022;1;11;3
2022-01-11 11:00:00.0000000;289874255020032;411025987862528;sxk9gd;138;2;55;427;2022;1;11;3
2022-01-11 12:00:00.0000000;289874255020032;411025987862528;sxk9gd;115;2;53;411;2022;1;11;3
2022-01-11 13:00:00.0000000;289874255020032;411025987862528;sxk9gd;110;3;50;450;2022;1;11;3
2022-01-11 14:00:00.0000000;289874255020032;411025987862528;sxk9gd;115;2;50;374;2022;1;11;3
2022-01-11 15:00:00.0000000;289874255020032;411025987862528;sxk9gd;106;2;49;397;2022;1;11;3
2022-01-11 16:00:00.0000000;289874255020032;411025987862528;sxk9gd;103;1;46;426;2022;1;11;3
2022-02-01 17:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;110;1;22;619;2022;2;1;3
2022-02-01 18:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;100;1;20;566;2022;2;1;3
2022-02-01 19:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;81;1;25;317;2022;2;1;3
2022-02-01 20:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;117;2;45;343;2022;2;1;3
2022-02-01 21:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;139;2;73;327;2022;2;1;3
2022-05-03 12:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;118;5;63;272;2022;5;3;3
2022-05-03 13:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;109;5;42;287;2022;5;3;3
2022-05-03 14:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;111;2;38;279;2022;5;3;3
2022-05-03 15:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;114;2;40;254;2022;5;3;3
2022-02-22 06:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;153;8;74;362;2022;2;22;3
2022-05-17 06:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;168;2;80;395;2022;5;17;3
2022-05-17 07:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;133;3;61;496;2022;5;17;3
2022-05-17 08:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;123;2;43;415;2022;5;17;3
2022-05-17 09:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;129;3;52;331;2022;5;17;3
2022-02-15 07:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;123;1;57;365;2022;2;15;3
2022-02-15 21:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;138;2;74;287;2022;2;15;3
2022-02-15 22:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;141;3;70;229;2022;2;15;3
2022-02-15 23:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;155;5;73;198;2022;2;15;3
2022-09-20 20:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;175;2;41;393;2022;9;20;3
2022-09-20 21:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;165;3;72;317;2022;9;20;3
2022-02-22 13:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;123;4;55;319;2022;2;22;3
