DATE_TIME;LATITUDE;LONGITUDE;GEOHASH;MAXIMUM_SPEED;MINIMUM_SPEED;AVERAGE_SPEED;NUMBER_OF_VEHICLES;year;month;monthday;weekday
2022-01-10 08:00:00.0000000;289874255020032;411025987862528;sxk9gd;127;2;50;420;2022;1;10;2
2022-01-10 09:00:00.0000000;289874255020032;411025987862528;sxk9gd;117;2;55;429;2022;1;10;2
2022-01-10 10:00:00.0000000;289874255020032;411025987862528;sxk9gd;129;4;60;437;2022;1;10;2
2022-01-10 11:00:00.0000000;289874255020032;411025987862528;sxk9gd;116;2;65;432;2022;1;10;2
2022-01-10 12:00:00.0000000;289874255020032;411025987862528;sxk9gd;115;6;64;444;2022;1;10;2
2022-01-10 13:00:00.0000000;289874255020032;411025987862528;sxk9gd;130;2;62;418;2022;1;10;2
2022-01-17 00:00:00.0000000;289874255020032;411025987862528;sxk9gd;147;7;81;192;2022;1;17;2
2022-01-24 09:00:00.0000000;289874255020032;411025987862528;sxk9gd;113;3;55;357;2022;1;24;2
2022-01-24 10:00:00.0000000;289874255020032;411025987862528;sxk9gd;133;2;65;356;2022;1;24;2
2022-01-24 11:00:00.0000000;289874255020032;411025987862528;sxk9gd;117;2;48;367;2022;1;24;2
2022-01-24 12:00:00.0000000;289874255020032;411025987862528;sxk9gd;128;1;67;388;2022;1;24;2
2022-01-24 13:00:00.0000000;289874255020032;411025987862528;sxk9gd;129;6;66;334;2022;1;24;2
2022-01-24 14:00:00.0000000;289874255020032;411025987862528;sxk9gd;120;6;64;324;2022;1;24;2
2022-01-24 15:00:00.0000000;289874255020032;411025987862528;sxk9gd;145;2;67;350;2022;1;24;2
2022-01-31 11:00:00.0000000;289874255020032;411025987862528;sxk9gd;137;3;63;388;2022;1;31;2
2022-01-31 12:00:00.0000000;289874255020032;411025987862528;sxk9gd;115;3;57;388;2022;1;31;2
2022-01-31 13:00:00.0000000;289874255020032;411025987862528;sxk9gd;125;2;60;341;2022;1;31;2
2022-01-31 14:00:00.0000000;289874255020032;411025987862528;sxk9gd;125;3;60;380;2022;1;31;2
2022-01-31 15:00:00.0000000;289874255020032;411025987862528;sxk9gd;123;3;58;363;2022;1;31;2
2022-01-31 16:00:00.0000000;289874255020032;411025987862528;sxk9gd;119;2;53;470;2022;1;31;2
2022-01-31 17:00:00.0000000;289874255020032;411025987862528;sxk9gd;106;1;32;606;2022;1;31;2
2022-09-05 18:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;110;2;32;347;2022;9;5;2
2022-09-05 06:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;191;3;74;418;2022;9;5;2
2022-09-05 07:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;140;1;62;491;2022;9;5;2
2022-09-05 08:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;137;1;53;377;2022;9;5;2
2022-09-05 09:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;144;5;57;403;2022;9;5;2
2022-02-07 05:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;153;15;82;227;2022;2;7;2
2022-02-07 06:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;142;9;77;385;2022;2;7;2
2022-02-07 07:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;119;2;59;429;2022;2;7;2
