DATE_TIME;LATITUDE;LONGITUDE;GEOHASH;MAXIMUM_SPEED;MINIMUM_SPEED;AVERAGE_SPEED;NUMBER_OF_VEHICLES;year;month;monthday;weekday
2022-05-04 18:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;133;2;48;329;2022;5;4;4
2022-02-02 07:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;125;6;60;459;2022;2;2;4
2022-05-04 19:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;115;2;51;323;2022;5;4;4
2022-02-02 08:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;120;1;50;496;2022;2;2;4
2022-02-02 09:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;116;3;55;436;2022;2;2;4
2022-05-04 20:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;119;3;47;282;2022;5;4;4
2022-05-04 05:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;157;34;86;125;2022;5;4;4
2022-05-04 06:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;170;24;88;145;2022;5;4;4
2022-05-04 13:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;134;2;58;307;2022;5;4;4
2022-05-04 14:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;127;2;54;343;2022;5;4;4
2022-05-04 15:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;123;3;55;315;2022;5;4;4
2022-05-04 16:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;130;2;53;357;2022;5;4;4
2022-05-04 17:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;130;1;56;360;2022;5;4;4
2022-02-09 05:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;163;24;82;192;2022;2;9;4
2022-02-09 06:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;140;2;74;372;2022;2;9;4
2022-02-09 07:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;119;2;56;415;2022;2;9;4
2022-05-11 22:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;133;6;71;340;2022;5;11;4
2022-05-11 23:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;149;4;75;279;2022;5;11;4
2022-02-16 09:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;131;1;57;326;2022;2;16;4
2022-05-18 15:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;108;1;29;474;2022;5;18;4
2022-03-02 09:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;139;2;56;437;2022;3;2;4
2022-05-25 20:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;142;3;61;403;2022;5;25;4
2022-05-25 21:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;152;6;72;371;2022;5;25;4
2022-05-25 22:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;155;2;73;359;2022;5;25;4
2022-03-02 10:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;128;2;66;485;2022;3;2;4
2022-06-01 09:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;152;2;44;301;2022;6;1;4
2022-06-01 10:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;128;2;54;266;2022;6;1;4
2022-06-01 11:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;119;2;59;336;2022;6;1;4
2022-03-02 19:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;128;1;50;357;2022;3;2;4
2022-03-02 20:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;136;3;68;352;2022;3;2;4
