DATE_TIME;LATITUDE;LONGITUDE;GEOHASH;MAXIMUM_SPEED;MINIMUM_SPEED;AVERAGE_SPEED;NUMBER_OF_VEHICLES;year;month;monthday;weekday
2022-01-20 04:00:00.0000000;289874255020032;411025987862528;sxk9gd;149;20;81;125;2022;1;20;5
2022-01-20 05:00:00.0000000;289874255020032;411025987862528;sxk9gd;145;22;80;235;2022;1;20;5
2022-01-20 06:00:00.0000000;289874255020032;411025987862528;sxk9gd;134;4;74;466;2022;1;20;5
2022-01-20 07:00:00.0000000;289874255020032;411025987862528;sxk9gd;131;1;56;491;2022;1;20;5
2022-01-20 08:00:00.0000000;289874255020032;411025987862528;sxk9gd;133;2;50;432;2022;1;20;5
2022-01-20 09:00:00.0000000;289874255020032;411025987862528;sxk9gd;131;2;54;467;2022;1;20;5
2022-01-20 10:00:00.0000000;289874255020032;411025987862528;sxk9gd;128;3;60;476;2022;1;20;5
2022-05-19 02:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;162;2;77;104;2022;5;19;5
2022-05-05 05:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;178;5;85;206;2022;5;5;5
2022-05-05 06:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;95;75;89;2;2022;5;5;5
2022-05-19 07:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;142;15;81;385;2022;5;19;5
2022-05-19 16:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;138;4;59;395;2022;5;19;5
2022-02-17 11:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;116;2;58;370;2022;2;17;5
2022-02-17 12:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;125;2;63;312;2022;2;17;5
2022-02-17 13:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;118;2;60;344;2022;2;17;5
2022-02-17 14:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;127;3;57;304;2022;2;17;5
2022-09-15 16:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;124;2;46;342;2022;9;15;5
2022-09-15 17:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;102;1;28;470;2022;9;15;5
2022-09-15 18:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;124;1;27;413;2022;9;15;5
2022-09-15 19:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;125;1;35;442;2022;9;15;5
2022-02-17 17:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;109;2;36;380;2022;2;17;5
2022-03-03 00:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;149;6;75;201;2022;3;3;5
2022-03-03 07:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;116;2;57;593;2022;3;3;5
2022-03-03 08:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;126;2;52;472;2022;3;3;5
2022-03-03 09:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;115;2;53;505;2022;3;3;5
2022-10-06 19:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;110;1;27;512;2022;10;6;5
2022-10-06 20:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;130;2;53;399;2022;10;6;5
2022-10-06 21:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;137;2;72;364;2022;10;6;5
2022-10-06 22:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;170;6;74;323;2022;10;6;5
2022-10-06 23:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;144;2;80;285;2022;10;6;5
2022-10-13 03:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;155;8;83;102;2022;10;13;5
2022-10-06 13:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;132;3;57;314;2022;10;6;5
2022-10-06 14:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;140;2;57;344;2022;10;6;5
2022-10-06 15:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;128;6;56;367;2022;10;6;5
2022-06-16 17:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;144;2;39;442;2022;6;16;5
2022-06-16 18:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;102;2;29;430;2022;6;16;5
2022-06-16 19:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;124;2;42;444;2022;6;16;5
2022-06-23 18:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;97;1;24;350;2022;6;23;5
2022-06-23 00:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;140;4;80;200;2022;6;23;5
2022-06-23 22:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;142;6;67;281;2022;6;23;5
2022-06-23 23:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;153;3;71;288;2022;6;23;5
2022-04-07 06:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;159;1;72;459;2022;4;7;5
2022-04-07 07:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;132;3;58;552;2022;4;7;5
2022-04-07 11:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;130;3;66;413;2022;4;7;5
2022-04-07 12:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;140;2;62;323;2022;4;7;5
2022-04-07 13:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;135;4;60;435;2022;4;7;5
2022-11-03 19:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;123;1;35;390;2022;11;3;5
2022-11-03 23:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;150;8;79;267;2022;11;3;5
2022-11-10 04:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;158;18;82;105;2022;11;10;5
2022-11-10 05:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;153;6;82;249;2022;11;10;5
2022-11-10 06:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;143;4;75;396;2022;11;10;5
2022-11-10 07:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;127;3;59;435;2022;11;10;5
2022-11-10 17:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;106;1;22;430;2022;11;10;5
2022-11-10 18:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;86;2;21;392;2022;11;10;5
2022-11-10 08:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;134;2;40;367;2022;11;10;5
2022-11-17 07:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;145;4;59;435;2022;11;17;5
2022-11-17 08:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;128;3;61;373;2022;11;17;5
2022-11-17 09:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;128;2;62;421;2022;11;17;5
2022-11-17 10:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;127;2;63;394;2022;11;17;5
2022-04-21 20:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;151;2;73;289;2022;4;21;5
2022-04-21 21:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;148;3;71;322;2022;4;21;5
2022-04-21 11:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;124;2;60;360;2022;4;21;5
2022-08-04 01:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;164;9;74;142;2022;8;4;5
2022-08-04 02:00:00.0000000;28,9874267578125;41,1026000976563;sxk9gd;134;7;70;137;2022;8;4;5
2022-01-13 00:00:00.0000000;289874255020032;411025987862528;sxk9gd;137;1;74;153;2022;1;13;5
